driver_id,Vehicle Type,driver_type
133,Car,LOGISTIC OPERATOR
138,Car,FREELANCE
140,Car,FREELANCE
143,Bike,FREELANCE
148,Car,FREELANCE
165,Car,FREELANCE
172,Car,FREELANCE
174,Bike,FREELANCE
187,Bike,FREELANCE
196,Bike,FREELANCE
202,Bike,FREELANCE
210,Car,FREELANCE
217,Car,LOGISTIC OPERATOR
223,Car,FREELANCE
224,Bike,FREELANCE
225,Car,LOGISTIC OPERATOR
228,Car,FREELANCE
231,Car,LOGISTIC OPERATOR
243,Car,LOGISTIC OPERATOR
245,Car,FREELANCE
298,Car,LOGISTIC OPERATOR
301,Car,LOGISTIC OPERATOR
303,Car,LOGISTIC OPERATOR
313,Car,LOGISTIC OPERATOR
319,Car,FREELANCE
340,Car,FREELANCE
343,Bike,FREELANCE
344,Bike,FREELANCE
345,Car,FREELANCE
350,Car,FREELANCE
356,Car,LOGISTIC OPERATOR
357,Car,LOGISTIC OPERATOR
358,Car,LOGISTIC OPERATOR
366,Car,FREELANCE
367,Car,LOGISTIC OPERATOR
369,Bike,FREELANCE
372,Car,FREELANCE
378,Car,FREELANCE
379,Car,LOGISTIC OPERATOR
380,Car,LOGISTIC OPERATOR
387,Car,LOGISTIC OPERATOR
388,Car,LOGISTIC OPERATOR
390,Car,FREELANCE
407,Bike,FREELANCE
409,Car,FREELANCE
410,Bike,FREELANCE
413,Bike,FREELANCE
414,Bike,FREELANCE
415,Bike,FREELANCE
416,Bike,FREELANCE
425,Bike,FREELANCE
426,Bike,FREELANCE
430,Bike,FREELANCE
446,Car,FREELANCE
448,Car,FREELANCE
454,Car,FREELANCE
456,Car,FREELANCE
457,Car,FREELANCE
458,Car,FREELANCE
459,Car,FREELANCE
463,Car,LOGISTIC OPERATOR
464,Car,LOGISTIC OPERATOR
466,Car,FREELANCE
474,Car,FREELANCE
475,Car,LOGISTIC OPERATOR
480,Car,LOGISTIC OPERATOR
484,Car,FREELANCE
488,Car,FREELANCE
491,Car,LOGISTIC OPERATOR
494,Car,LOGISTIC OPERATOR
497,Car,LOGISTIC OPERATOR
508,Car,FREELANCE
509,Car,FREELANCE
510,Car,FREELANCE
511,Car,LOGISTIC OPERATOR
512,Car,FREELANCE
526,Car,LOGISTIC OPERATOR
529,Bike,FREELANCE
530,Bike,FREELANCE
532,Bike,FREELANCE
539,Car,FREELANCE
545,Car,LOGISTIC OPERATOR
546,Car,LOGISTIC OPERATOR
564,Car,LOGISTIC OPERATOR
574,Car,LOGISTIC OPERATOR
581,Car,FREELANCE
583,Bike,FREELANCE
596,Car,FREELANCE
598,Car,LOGISTIC OPERATOR
599,Car,FREELANCE
612,Car,LOGISTIC OPERATOR
617,Car,LOGISTIC OPERATOR
619,Car,FREELANCE
620,Car,LOGISTIC OPERATOR
622,Car,LOGISTIC OPERATOR
625,Car,LOGISTIC OPERATOR
626,Car,LOGISTIC OPERATOR
627,Car,LOGISTIC OPERATOR
632,Bike,FREELANCE
633,Bike,FREELANCE
639,Car,LOGISTIC OPERATOR
642,Car,FREELANCE
650,Car,LOGISTIC OPERATOR
651,Car,LOGISTIC OPERATOR
653,Car,LOGISTIC OPERATOR
655,Car,LOGISTIC OPERATOR
660,Car,LOGISTIC OPERATOR
664,Car,LOGISTIC OPERATOR
688,Car,LOGISTIC OPERATOR
690,Car,LOGISTIC OPERATOR
711,Car,LOGISTIC OPERATOR
713,Car,FREELANCE
726,Bike,FREELANCE
730,Car,LOGISTIC OPERATOR
731,Car,FREELANCE
738,Car,FREELANCE
746,Car,LOGISTIC OPERATOR
749,Car,LOGISTIC OPERATOR
754,Car,LOGISTIC OPERATOR
758,Car,FREELANCE
759,Car,FREELANCE
760,Car,FREELANCE
771,Car,FREELANCE
775,Car,FREELANCE
787,Car,LOGISTIC OPERATOR
788,Car,FREELANCE
789,Car,FREELANCE
794,Bike,FREELANCE
800,Car,FREELANCE
801,Car,FREELANCE
809,Car,FREELANCE
810,Car,FREELANCE
812,Car,LOGISTIC OPERATOR
831,Car,FREELANCE
839,Car,FREELANCE
858,Car,FREELANCE
862,Car,LOGISTIC OPERATOR
874,Car,FREELANCE
886,Car,FREELANCE
888,Car,FREELANCE
891,Car,FREELANCE
896,Car,LOGISTIC OPERATOR
900,Car,FREELANCE
901,Car,FREELANCE
902,Car,LOGISTIC OPERATOR
906,Car,FREELANCE
908,Car,FREELANCE
913,Bike,FREELANCE
921,Bike,FREELANCE
922,Bike,FREELANCE
928,Bike,FREELANCE
938,Bike,FREELANCE
939,Car,FREELANCE
941,Car,FREELANCE
945,Car,FREELANCE
975,Car,FREELANCE
976,Bike,FREELANCE
982,Car,FREELANCE
986,Bike,FREELANCE
988,Car,FREELANCE
995,Bike,FREELANCE
998,Car,FREELANCE
1004,Car,FREELANCE
1005,Car,FREELANCE
1015,Car,FREELANCE
1032,Car,LOGISTIC OPERATOR
1038,Bike,FREELANCE
1039,Bike,FREELANCE
1040,Car,FREELANCE
1064,Car,FREELANCE
1068,Car,FREELANCE
1073,Car,FREELANCE
1074,Car,FREELANCE
1094,Car,LOGISTIC OPERATOR
1095,Car,FREELANCE
1105,Bike,FREELANCE
1111,Car,FREELANCE
1113,Car,FREELANCE
1117,Car,FREELANCE
1126,Bike,FREELANCE
1165,Car,FREELANCE
1173,Car,LOGISTIC OPERATOR
1181,Bike,FREELANCE
1184,Bike,FREELANCE
1202,Bike,FREELANCE
1203,Bike,FREELANCE
1212,Car,FREELANCE
1223,Car,FREELANCE
1229,Car,FREELANCE
1251,Car,FREELANCE
1253,Car,FREELANCE
1281,Bike,FREELANCE
1286,Car,FREELANCE
1301,Bike,FREELANCE
1374,Car,FREELANCE
1377,Car,FREELANCE
1395,Car,FREELANCE
1402,Bike,FREELANCE
1405,Bike,FREELANCE
1419,Car,FREELANCE
1433,Bike,FREELANCE
1463,Car,FREELANCE
1482,Car,FREELANCE
1488,Car,FREELANCE
1511,Car,FREELANCE
1547,Car,LOGISTIC OPERATOR
1599,Bike,FREELANCE
1621,Car,FREELANCE
1626,Car,FREELANCE
1657,Car,FREELANCE
1706,Bike,FREELANCE
1737,Bike,FREELANCE
1759,Bike,FREELANCE
1786,Bike,FREELANCE
1787,Bike,FREELANCE
1800,Car,FREELANCE
1808,Car,FREELANCE
1822,Bike,FREELANCE
1829,Car,FREELANCE
1837,Car,LOGISTIC OPERATOR
1855,Car,FREELANCE
1874,Bike,FREELANCE
1912,Car,FREELANCE
1916,Car,LOGISTIC OPERATOR
1943,Bike,FREELANCE
1948,Bike,FREELANCE
1959,Bike,FREELANCE
1972,Car,FREELANCE
1983,Car,FREELANCE
2000,Car,FREELANCE
2001,Car,LOGISTIC OPERATOR
2002,Car,FREELANCE
2033,Car,FREELANCE
2061,Bike,FREELANCE
2089,Car,LOGISTIC OPERATOR
2091,Car,FREELANCE
2119,Car,FREELANCE
2147,Car,FREELANCE
2156,Car,FREELANCE
2159,Car,FREELANCE
2165,Car,FREELANCE
2174,Car,FREELANCE
2178,Bike,FREELANCE
2186,Bike,FREELANCE
2228,Car,LOGISTIC OPERATOR
2240,Car,FREELANCE
2244,Car,LOGISTIC OPERATOR
2260,Car,FREELANCE
2267,Car,FREELANCE
2275,Car,FREELANCE
2276,Car,FREELANCE
2296,Car,FREELANCE
2304,Car,FREELANCE
2321,Car,FREELANCE
2324,Car,FREELANCE
2331,Car,FREELANCE
2337,Car,FREELANCE
2354,Car,LOGISTIC OPERATOR
2355,Car,FREELANCE
2364,Car,FREELANCE
2395,Bike,FREELANCE
2426,Car,FREELANCE
2447,Bike,FREELANCE
2465,Car,FREELANCE
2468,Bike,FREELANCE
2472,Car,FREELANCE
2473,Bike,FREELANCE
2476,Bike,FREELANCE
2486,Car,FREELANCE
2489,Car,FREELANCE
2490,Car,FREELANCE
2511,Car,LOGISTIC OPERATOR
2519,Bike,FREELANCE
2550,Bike,FREELANCE
2552,Car,FREELANCE
2561,Car,FREELANCE
2631,Bike,FREELANCE
2638,Car,FREELANCE
2649,Car,FREELANCE
2672,Car,FREELANCE
2674,Bike,FREELANCE
2688,Car,FREELANCE
2703,Car,FREELANCE
2722,Bike,FREELANCE
2726,Car,LOGISTIC OPERATOR
2743,Car,FREELANCE
2745,Bike,FREELANCE
2750,Car,FREELANCE
2751,Bike,FREELANCE
2758,Car,FREELANCE
2761,Bike,FREELANCE
2762,Car,FREELANCE
2790,Bike,FREELANCE
2820,Bike,FREELANCE
2836,Car,FREELANCE
2837,Car,FREELANCE
2854,Bike,FREELANCE
2872,Bike,FREELANCE
2876,Bike,FREELANCE
2905,Bike,FREELANCE
2913,Car,FREELANCE
2917,Car,LOGISTIC OPERATOR
2926,Car,LOGISTIC OPERATOR
2930,Car,FREELANCE
2932,Car,FREELANCE
2941,Bike,FREELANCE
2945,Bike,FREELANCE
2969,Bike,FREELANCE
2994,Car,FREELANCE
3022,Bike,FREELANCE
3023,Bike,FREELANCE
3024,Bike,FREELANCE
3026,Bike,FREELANCE
3039,Car,FREELANCE
