hub_id,hub_name,hub_city,hub_state
2,BLUE SHOPPING,Bali,RS
3,GREEN SHOPPING,Bali,RS
4,RED SHOPPING,Bali,RS
5,FUNK SHOPPING,Semarang,RJ
8,GOLDEN SHOPPING,Semarang,RJ
13,HIP HOP SHOPPING,Semarang,RJ
16,PEOPLE SHOPPING,Semarang,RJ
17,SMALL SHOPPING,Jakarta,SP
18,STAR SHOPPING,Semarang,RJ
20,PURPLE SHOPPING,Semarang,RJ
21,WOLF SHOPPING,Jakarta,SP
22,COLOR SHOPPING,Semarang,RJ
25,AVENUE SHOPPING,Jakarta,SP
26,SQL SHOPPING,Jakarta,SP
27,SAMPA SHOPPING,Jakarta,SP
28,RAP SHOPPING,Jakarta,SP
29,SUBWAY SHOPPING,Jakarta,SP
31,PAGODE SHOPPING,Jakarta,SP
33,COFFEE SHOPPING,Jakarta,SP
35,BEACH SHOPPING,Semarang,RJ
36,BLACK SHOPPING,Bali,RS
37,RIVER SHOPPING,Jakarta,SP
42,PHP SHOPPING,Lampung,PR
43,HOTMILK SHOPPING,Lampung,PR
44,FORTRAN SHOPPING,Lampung,PR
51,RUBY SHOPPING,Semarang,RJ
55,ELIXIR SHOPPING,Jakarta,SP
73,HUBLESS SHOPPING,Jakarta,SP
75,PYTHON SHOPPING,Lampung,PR
85,REACT SHOPPING,Jakarta,SP
86,R SHOPPING,Jakarta,SP
91,GAROA SHOPPING,Jakarta,SP
