order_id,store_id,channel_id,payment_order_id,delivery_order_id,order_status,order_amount,order_delivery_fee,order_delivery_cost,order_created_hour,order_created_minute,order_created_month,order_created_day,order_moment_created,order_metric_collected_time,order_metric_paused_time,order_metric_production_time,order_metric_walking_time,order_metric_expediton_speed_time,order_metric_transit_time,order_metric_cycle_time
68405119,3512,5,68405119,68405119,CANCELED,250800,0,0,0,1,1,1,1/1/2023 0:01,,,,,,,
68405123,3512,5,68405123,68405123,CANCELED,250800,0,0,0,4,1,1,1/1/2023 0:04,,,,,,,
68405206,3512,5,68405206,68405206,CANCELED,462000,0,0,0,13,1,1,1/1/2023 0:13,,,,,,,
68405465,3401,5,68405465,68405465,CANCELED,223600,0,0,0,19,1,1,1/1/2023 0:19,,,,,,,
68406064,3401,5,68406064,68406064,CANCELED,151600,0,0,0,26,1,1,1/1/2023 0:26,,,,,,,
68408108,786,5,68408108,68408108,CANCELED,320000,39600,0,0,56,1,1,1/1/2023 0:56,,,,,,,
68408109,1125,5,68408109,68408109,CANCELED,284000,39600,0,0,56,1,1,1/1/2023 0:56,,,,,,,
68409030,1064,35,68409030,68409030,CANCELED,859200,40,0,1,56,1,1,1/1/2023 1:56,,,,,,,
68410055,2181,35,68410055,68410055,FINISHED,1579200,40,24000,2,32,1,1,1/1/2023 2:32,6.63,4.55,2391.25,7.17,11.72,21.75,2424.72
68412121,1152,5,68412121,68412121,CANCELED,102000,39600,0,13,57,1,1,1/1/2023 13:57,,,,,,,
68412122,490,5,68412122,68412122,CANCELED,120000,23600,0,13,57,1,1,1/1/2023 13:57,,,,,,,
68412123,674,5,68412123,68412123,CANCELED,298000,23600,0,13,57,1,1,1/1/2023 13:57,,,,,,,
68412131,490,5,68412131,68412131,CANCELED,192000,31600,0,13,58,1,1,1/1/2023 13:58,,,,,,,
68412134,679,5,68412134,68412134,CANCELED,139600,39600,0,13,58,1,1,1/1/2023 13:58,,,,,,,
68412148,294,5,68412148,68412148,CANCELED,136000,27600,0,14,2,1,1,1/1/2023 14:02,,,,,,,
68412322,294,5,68412322,68412322,CANCELED,157200,39600,0,14,6,1,1,1/1/2023 14:06,,,,,,,
68412444,294,5,68412444,68412444,CANCELED,166000,39600,0,14,8,1,1,1/1/2023 14:08,,,,,,,
68412721,631,5,68412721,68412721,FINISHED,780200,47600,43720,14,12,1,1,1/1/2023 14:12,0.27,10.22,26.07,0.83,11.05,83.3,120.42
68413340,631,5,68413340,68413340,FINISHED,187600,47600,45440,14,14,1,1,1/1/2023 14:14,7.03,3.1,14.62,9.57,12.67,49.78,77.05
68414018,3265,5,68414018,68414018,FINISHED,183200,0,41120,14,17,1,1,1/1/2023 14:17,10.22,3.03,27.48,10.25,13.28,11.05,51.82
68414309,236,5,68414309,68414309,FINISHED,379600,47600,24000,14,21,1,1,1/1/2023 14:21,2.37,1.45,15.78,5.33,6.78,6.73,29.3
68414512,631,5,68414512,68414512,FINISHED,183600,47600,46520,14,24,1,1,1/1/2023 14:24,0.08,39.75,22.1,0.1,39.85,23.82,85.77
68414563,955,5,68414563,68414563,FINISHED,107600,0,24000,14,24,1,1,1/1/2023 14:24,1.23,,39.03,,5.92,21.55,66.5
68414907,294,5,68414907,68414907,CANCELED,129600,39600,0,14,27,1,1,1/1/2023 14:27,,,,,,,
68415103,631,5,68415103,68415103,FINISHED,414400,47600,25320,14,31,1,1,1/1/2023 14:31,0.42,3.93,24.82,0.45,4.38,38.17,67.37
68415140,631,5,68415140,68415140,FINISHED,749600,47600,14880,14,31,1,1,1/1/2023 14:31,1.57,4.18,30.93,2.52,6.7,57.17,94.82
68415344,631,5,68415344,68415344,FINISHED,333600,47600,45280,14,33,1,1,1/1/2023 14:33,0.52,28.83,22.88,0.53,29.38,53.08,105.35
68415457,631,5,68415457,68415457,FINISHED,547200,47600,14880,14,34,1,1,1/1/2023 14:34,5.67,4.08,24.43,6.62,10.7,14.22,49.35
68415474,631,5,68415474,68415474,FINISHED,633200,47600,41400,14,34,1,1,1/1/2023 14:34,1.53,20.52,28.02,2.47,22.98,33.95,84.97
68415543,3528,5,68415543,68415543,FINISHED,87600,12000,39960,14,35,1,1,1/1/2023 14:35,0.55,,86.22,,8.03,17.5,111.75
68415947,3265,5,68415947,68415947,FINISHED,103600,0,48320,14,37,1,1,1/1/2023 14:37,1.55,3.9,32.73,1.58,5.48,20.12,58.33
68416059,631,5,68416059,68416059,FINISHED,653200,47600,14880,14,38,1,1,1/1/2023 14:38,5.75,1.02,28.77,5.78,6.8,18.72,54.28
68416226,3265,5,68416226,68416226,FINISHED,125600,0,34440,14,40,1,1,1/1/2023 14:40,2.43,0.4,33.17,2.47,2.87,15.77,51.8
68416227,3265,5,68416227,68416227,FINISHED,103600,0,47200,14,40,1,1,1/1/2023 14:40,3.12,2.15,35.27,3.13,5.28,11.07,51.63
