payment_id,payment_order_id,payment_amount,payment_fee,payment_method,payment_status
4427917,68410055,473760,0,VOUCHER,PAID
4427918,68410055,1579240,31600,ONLINE,PAID
4427941,68412721,827800,22360,ONLINE,PAID
4427948,68413340,235200,6360,ONLINE,PAID
4427955,68414018,183200,3680,ONLINE,PAID
4427956,68414309,427200,11520,ONLINE,PAID
4427961,68414512,231200,6240,ONLINE,PAID
4427963,68414563,107600,1600,ONLINE,PAID
4427975,68415103,462000,12480,ONLINE,PAID
4427976,68415140,797200,21520,ONLINE,PAID
4427980,68415344,381200,10280,ONLINE,PAID
4427983,68415457,594800,16040,ONLINE,PAID
4427988,68415474,680800,18400,ONLINE,PAID
4427989,68415543,79600,1200,ONLINE,PAID
4427990,68415543,20000,0,VOUCHER,PAID
4427997,68415947,103600,2080,ONLINE,PAID
4427999,68416059,700800,18920,ONLINE,PAID
4428001,68416226,125600,2520,ONLINE,PAID
4428002,68416227,103600,2080,ONLINE,PAID
4428003,68416230,187160,2800,ONLINE,PAID
4428010,68416397,116000,2320,ONLINE,PAID
4428013,68416643,187200,2800,ONLINE,PAID
4428031,68417307,167600,2520,ONLINE,PAID
4428033,68417497,112000,2240,ONLINE,PAID
4429474,68417544,437200,6560,DEBIT_STORE,PAID
4428190,68417646,219600,3280,DEBIT,PAID
4428036,68417778,129600,2600,ONLINE,PAID
4428039,68417787,291600,4360,ONLINE,PAID
4428040,68417787,20000,0,VOUCHER,PAID
4428041,68417799,124000,2480,ONLINE,PAID
4428046,68418089,303600,8200,ONLINE,PAID
4428049,68418092,191200,3840,ONLINE,PAID
4428054,68418430,869600,23480,ONLINE,PAID
4428058,68418711,315600,4720,ONLINE,PAID
4428063,68419091,397000,10720,ONLINE,PAID
4428065,68419094,342400,5120,ONLINE,PAID
4428066,68419140,448800,12120,ONLINE,PAID
4428067,68419146,40000,0,VOUCHER,PAID
4428603,68419146,134800,2040,DEBIT,PAID
4428069,68419302,133560,2000,ONLINE,PAID
4428070,68419302,48000,0,VOUCHER,PAID
4428071,68419305,809600,21840,ONLINE,PAID
4428072,68419373,668800,18040,ONLINE,PAID
4428079,68419684,99600,1480,ONLINE,PAID
4428080,68419684,40000,0,VOUCHER,PAID
4428081,68419797,515600,13920,ONLINE,PAID
4428083,68419848,674800,18200,ONLINE,PAID
4428084,68420053,508200,13720,ONLINE,PAID
4428085,68420053,80000,0,VOUCHER,PAID
4428087,68420308,327200,8840,ONLINE,PAID
4428093,68420589,191200,2880,ONLINE,PAID
4428094,68420589,48000,0,VOUCHER,PAID
4428095,68420592,250800,3760,ONLINE,PAID
4428097,68420776,20000,0,VOUCHER,PAID
4428486,68420776,81600,1240,DEBIT,PAID
4428099,68420869,986000,26640,ONLINE,PAID
4428101,68421071,247200,4960,ONLINE,PAID
4428110,68421547,55600,840,ONLINE,PAID
4428111,68421547,48000,0,VOUCHER,PAID
4428112,68421551,143200,2160,ONLINE,PAID
4428120,68421917,83600,1680,ONLINE,PAID
4428124,68421987,417000,11240,ONLINE,PAID
4428128,68422045,206800,3120,ONLINE,PAID
4428130,68422076,99200,1480,ONLINE,PAID
4428131,68422076,48000,0,VOUCHER,PAID
4428133,68422092,621200,16760,ONLINE,PAID
4428137,68422281,566400,15280,ONLINE,PAID
4428142,68422614,723200,19520,ONLINE,PAID
4428722,68422671,639600,0,MEAL_BENEFIT,PAID
4428148,68423110,91600,1360,ONLINE,PAID
4428149,68423110,20000,0,VOUCHER,PAID
4428150,68423162,477000,12880,ONLINE,PAID
4428157,68423436,235200,6360,ONLINE,PAID
4428161,68423588,374800,10120,ONLINE,PAID
4428460,68423643,355200,5320,DEBIT,PAID
4428164,68423762,340000,5120,ONLINE,PAID
4428166,68423847,309200,8360,ONLINE,PAID
4428170,68424216,182800,2760,ONLINE,PAID
4428171,68424238,199600,5400,ONLINE,PAID
